ticker,date,market_cap,1_month_growth,3_month_growth,6_month_growth,12_month_growth
SCOR,2019-12,6626756292,1.3066,2.3093,0.7007,
SCOR,2019-11,5071652548,1.7583,1.9094,0.3786,
SCOR,2019-10,2884392621,1.0052,0.5224,0.1811,
SCOR,2019-09,2869605964,1.0804,0.3034,0.1089,
SCOR,2019-08,2656106713,0.481,0.1983,0.1012,
SCOR,2019-07,5521599090,0.5838,0.3466,0.2663,
SCOR,2019-06,9457294302,0.706,0.3587,,
SCOR,2019-05,13396513881,0.841,0.5104,,
SCOR,2019-04,15929942701,0.6043,0.7684,,
SCOR,2019-03,26362765313,1.0044,,,
SCOR,2019-02,26248438995,1.2662,,,
SCOR,2019-01,20730691444,,,,
SCOR,2020-12,3359236114,1.0516,1.0659,0.7012,0.5069
SCOR,2020-11,3194312171,1.0829,0.7471,0.7593,0.6298
SCOR,2020-10,2949890798,0.9361,0.6681,0.8043,1.0227
SCOR,2020-09,3151409321,0.7371,0.6578,0.8257,1.0982
SCOR,2020-08,4275362237,0.9683,1.0162,0.8132,1.6096
SCOR,2020-07,4415124089,0.9216,1.2039,0.6421,0.7996
SCOR,2020-06,4790596496,1.1387,1.2552,0.7229,0.5066
SCOR,2020-05,4207154459,1.1472,0.8002,0.8295,0.314
SCOR,2020-04,3667481059,0.9609,0.5334,1.2715,0.2302
SCOR,2020-03,3816690509,0.726,0.576,1.33,0.1448
SCOR,2020-02,5257380858,0.7646,1.0366,1.9794,0.2003
SCOR,2020-01,6875877447,1.0376,2.3838,1.2453,0.3317
SCOR,2021-12,5515820744,0.9025,0.8534,0.7505,1.642
SCOR,2021-11,6111433811,1.0071,1.0178,1.0062,1.9132
SCOR,2021-10,6068384521,0.9388,0.8574,1.0705,2.0572
SCOR,2021-09,6463655278,1.0764,0.8794,1.2123,2.051
SCOR,2021-08,6004735611,0.8484,0.9886,1.0058,1.4045
SCOR,2021-07,7077303346,0.9629,1.2484,1.4674,1.603
SCOR,2021-06,7349724574,1.2101,1.3784,2.1879,1.5342
SCOR,2021-05,6073712356,1.0714,1.0174,1.9014,1.4437
SCOR,2021-04,5668937790,1.0632,1.1754,1.9217,1.5457
SCOR,2021-03,5331890646,0.8931,1.5872,1.6919,1.397
SCOR,2021-02,5969951612,1.2378,1.8689,1.3964,1.1355
SCOR,2021-01,4822932176,1.4357,1.635,1.0924,0.7014
SCOR,2022-12,2292283413,0.889,0.5989,0.6091,0.4156
SCOR,2022-11,2578373217,1.0723,0.6586,0.788,0.4219
SCOR,2022-10,2404580345,0.6282,0.6359,0.5313,0.3962
SCOR,2022-09,3827595033,0.9777,1.0171,0.7807,0.5922
SCOR,2022-08,3914892721,1.0353,1.1965,0.7643,0.652
SCOR,2022-07,3781487658,1.0049,0.8355,0.6537,0.5343
SCOR,2022-06,3763181356,1.1501,0.7676,0.6823,0.512
SCOR,2022-05,3272025899,0.7229,0.6388,0.5354,0.5387
SCOR,2022-04,4526009145,0.9232,0.7824,0.7458,0.7984
SCOR,2022-03,4902673357,0.9572,0.8888,0.7585,0.9195
SCOR,2022-02,5121910442,0.8855,0.8381,0.853,0.8579
SCOR,2022-01,5784515984,1.0487,0.9532,0.8173,1.1994
SCOR,2023-12,1351904366,1.0769,1.1176,0.8125,0.5898
SCOR,2023-11,1255330463,1.0788,0.859,0.7156,0.4869
SCOR,2023-10,1163627637,0.962,0.7993,0.5555,0.4839
SCOR,2023-09,1209639784,0.8277,0.727,0.5608,0.316
SCOR,2023-08,1461389638,1.0038,0.8331,0.6357,0.3733
SCOR,2023-07,1455866945,0.875,0.6951,0.6036,0.385
SCOR,2023-06,1663880425,0.9485,0.7714,0.7259,0.4421
SCOR,2023-05,1754253151,0.8375,0.7631,0.6804,0.5361
SCOR,2023-04,2094591061,0.971,0.8684,0.8711,0.4628
SCOR,2023-03,2157086887,0.9383,0.941,0.5636,0.44
SCOR,2023-02,2298837567,0.9531,0.8916,0.5872,0.4488
SCOR,2023-01,2411951835,1.0522,1.0031,0.6378,0.417
SCOR,2024-04,75065771,0.008,0.0403,0.0645,0.0358
SCOR,2024-03,9377712517,5.1992,6.9367,7.7525,4.3474
SCOR,2024-02,1803687238,0.9693,1.4368,1.2342,0.7846
SCOR,2024-01,1860801749,1.3764,1.5991,1.2781,0.7715
PUBM,2020-12,596997171,,,,
PUBM,2021-12,1836969327,1.013,1.2952,1.08,3.077
PUBM,2021-11,1813368308,1.3206,1.2359,0.9925,
PUBM,2021-10,1373185403,0.9682,0.8231,0.5147,
PUBM,2021-09,1418340982,0.9667,0.8339,0.5551,
PUBM,2021-08,1467263617,0.8795,0.803,0.5889,
PUBM,2021-07,1668299455,0.9808,0.6253,1.0655,
PUBM,2021-06,1700911451,0.9309,0.6657,2.8491,
PUBM,2021-05,1827117786,0.6848,0.7333,,
PUBM,2021-04,2668127936,1.0442,1.7041,,
PUBM,2021-03,2555113700,1.0254,4.2799,,
PUBM,2021-02,2491725143,1.5915,,,
PUBM,2021-01,1565680016,2.6226,,,
PUBM,2022-12,709887917,0.8598,0.7673,0.7371,0.3864
PUBM,2022-11,825599611,0.8798,0.7792,0.748,0.4553
PUBM,2022-10,938393150,1.0143,1.1129,0.7261,0.6834
PUBM,2022-09,925195584,0.8732,0.9607,0.7608,0.6523
PUBM,2022-08,1059541111,1.2566,0.9599,0.729,0.7221
PUBM,2022-07,843190681,0.8756,0.6525,0.6274,0.5054
PUBM,2022-06,963036493,0.8725,0.792,0.5243,0.5662
PUBM,2022-05,1103765522,0.8541,0.7594,0.6087,0.6041
PUBM,2022-04,1292313152,1.0627,0.9615,0.9411,0.4844
PUBM,2022-03,1216022744,0.8367,0.662,0.8574,0.4759
PUBM,2022-02,1453441372,1.0814,0.8015,0.9906,0.5833
